time,open,high,low,close
2021-09-15T21:00:00-03:00,48188.12,48505,47035,47760.64
2021-09-16T21:00:00-03:00,47773.44,48179,46712.14,47305.18
2021-09-17T21:00:00-03:00,47316.21,48834,47052.9,48326.74
2021-09-18T21:00:00-03:00,48307.05,48389.52,46860,47245.25
2021-09-19T21:00:00-03:00,47257.86,47334.54,42453.97,43035.99
2021-09-20T21:00:00-03:00,43003.07,43643.34,39573.21,40596.54
2021-09-21T21:00:00-03:00,40702.07,44031.85,40580.18,43589.53
2021-09-22T21:00:00-03:00,43586,45013.17,43105,44903.5
2021-09-23T21:00:00-03:00,44893.7,45159.9,40693.27,42848.5
2021-09-24T21:00:00-03:00,42835.88,43010.69,41689.6,42722.19
2021-09-25T21:00:00-03:00,42699.1,43956.38,40808,43204.73
2021-09-26T21:00:00-03:00,43162.82,44377.7,42130,42189.81
2021-09-27T21:00:00-03:00,42154.87,42778.93,40888,41049
2021-09-28T21:00:00-03:00,41024.21,42595.93,40750,41542.9
2021-09-29T21:00:00-03:00,41537.56,44117.74,41427.87,43834.43
2021-09-30T21:00:00-03:00,43835.47,48500,43291.07,48171.86
2021-10-01T21:00:00-03:00,48185.61,48361.83,47468.15,47685.8
2021-10-02T21:00:00-03:00,47644.63,49225.55,47119.87,48235.93
2021-10-03T21:00:00-03:00,48231.04,49530.53,46900,49242.14
2021-10-04T21:00:00-03:00,49283.89,51914.68,49075,51501.19
2021-10-05T21:00:00-03:00,51521.89,55800,50428.64,55345.79
2021-10-06T21:00:00-03:00,55360.1,55360.32,53289.57,53787.6
2021-10-07T21:00:00-03:00,53816.16,56168,53623.02,53957.21
2021-10-08T21:00:00-03:00,53952.82,55512.05,53674.69,54976.92
2021-10-09T21:00:00-03:00,54984.49,56561,51000,54714.95
2021-10-10T21:00:00-03:00,54657,57855.79,54462.45,57485.2
2021-10-11T21:00:00-03:00,57490,57701,53909,55995.49
2021-10-12T21:00:00-03:00,56004.61,57773.89,54231,57374.55
2021-10-13T21:00:00-03:00,57395.84,58550,56830.56,57371.58
2021-10-14T21:00:00-03:00,57370.48,62944.94,56877,61657.35
2021-10-15T21:00:00-03:00,61703.45,62352,60100.27,60870.26
2021-10-16T21:00:00-03:00,60885.27,61712,58933,61538.97
2021-10-17T21:00:00-03:00,61519.52,62679,59013,62034.65
2021-10-18T21:00:00-03:00,62014.99,64499,61350,64241.61
2021-10-19T21:00:00-03:00,64282.2,67016.5,63529,65990.31
2021-10-20T21:00:00-03:00,66027.81,66664.1,61850,62219.44
2021-10-21T21:00:00-03:00,62207.51,63757.28,59953.74,60702.68
2021-10-22T21:00:00-03:00,60698.54,61737.38,59633.61,61338.76
2021-10-23T21:00:00-03:00,61306.64,61497.33,59510,60910.16
2021-10-24T21:00:00-03:00,60883.96,63733.93,60670,63101.43
2021-10-25T21:00:00-03:00,63101.43,63299.3,59830,60328.22
2021-10-26T21:00:00-03:00,60331.4,61489,58100.01,58465.9
2021-10-27T21:00:00-03:00,58471.06,62524,56425,60592.76
2021-10-28T21:00:00-03:00,60608.95,62971.54,60154.53,62301.59
2021-10-29T21:00:00-03:00,62278.92,62376.32,60660.02,61932.3
2021-10-30T21:00:00-03:00,61904.96,62438.85,60000,61359.44
2021-10-31T21:00:00-03:00,61356.57,62500,59500,60922.85
2021-11-01T21:00:00-03:00,60949.78,64300,60669.91,63260
2021-11-02T21:00:00-03:00,63260,63567.21,60018.46,62930.72
2021-11-03T21:00:00-03:00,62945.38,63136.82,60725,61457.25
2021-11-04T21:00:00-03:00,61430.02,62666.52,60769.17,61031.91
2021-11-05T21:00:00-03:00,61008.19,61609.5,60109.91,61542.44
2021-11-06T21:00:00-03:00,61542.43,63300,61396.57,63300
2021-11-07T21:00:00-03:00,63300,67803.55,63300,67559
2021-11-08T21:00:00-03:00,67547.49,68564.4,66250,66945.72
